datetime,url,title
2023-11-04 23:42:17.806225,https://www.foxnews.com/live-news/idf-continues-gaza-ground-offensive-that-netanyahu-promises-will-be-swift-and-clear,IDF continues Gaza ground offensive that Netanyahu promises will be 'swift and clear'
2023-11-01 23:42:17.806274,https://www.foxnews.com/live-news/november-1-israel-hamas-war,Israel says more IDF soldiers were killed inside Gaza as ground operation against Hamas continues
2023-11-01 23:42:17.806310,https://www.foxnews.com/politics/us-partners-discussing-foreign-troops-serving-gaza-peacekeeping-force-israeli-war,"US, partners discussing foreign troops serving as Gaza peacekeeping force after Israeli war: report"
2023-11-03 23:42:17.806345,https://www.foxnews.com/world/veterans-help-americans-leaving-gaza-easier-time-getting-people-out-afghanistan,Veterans help Americans leaving Gaza: ‘Easier time getting people out of Afghanistan’
2023-11-04 23:42:17.806378,https://www.foxnews.com/world/300-miles-hamas-subterranean-terror-tunnels-next-big-challenge-for-idf-gaza-metro,300 miles of Hamas subterranean terror tunnels the next big challenge for IDF: 'Gaza metro'
2023-10-27 23:42:17.806410,https://www.foxnews.com/live-news/october-27-israel-hamas-war,"Israel launches second ground incursion into Gaza, Hamas commander killed in airstrike"
2023-11-02 23:42:17.806442,https://www.foxnews.com/world/rocket-gaza-hits-near-fox-news-trey-yingst-direct-impact,Rocket from Gaza hits near Fox News' Trey Yingst: 'Direct impact'
2023-11-05 12:42:17.806477,https://www.foxnews.com/video/6340565322112,Israeli military escorts FOX reporters into Gaza | Fox News Video
2023-11-03 23:42:17.806510,https://www.foxnews.com/world/average-palestinian-gaza-surviving-only-pieces-bread-per-day-un-human-rights-official,Average Palestinian in Gaza surviving on only 2 pieces of bread per day: UN human rights official
2023-11-03 23:42:17.806543,https://www.foxnews.com/lifestyle/israeli-father-pleads-americans-help-save-wife-three-children-held-hostage-gaza,Israeli father pleads with Americans to help save his wife and three children held hostage in Gaza
2023-10-30 23:42:17.806574,https://www.foxnews.com/live-news/october-30-israel-hamas-war,"Israeli military pushes deeper into Gaza as IDF targets Hamas anti-tank, rocket positions"
2023-10-06 23:42:17.806607,https://www.foxnews.com/media/harvard-student-organizations-claim-israel-entirely-responsible-gaza-attacks,Harvard student organizations claim Israel 'entirely responsible' for Gaza attacks
2023-11-03 23:42:17.806638,https://www.foxnews.com/world/average-palestinian-gaza-surviving-only-pieces-bread-per-day-un-human-rights-official,Average Palestinian in Gaza surviving on only 2 pieces of bread per day: UN human rights official
2023-11-03 23:42:17.806669,https://www.foxnews.com/live-news/israel-hamas-war-november-3,"Hezbollah praises Hamas terror attack, Netanyahu rejects cease-fire after Blinken meeting"
2023-10-06 23:42:17.806701,https://www.foxnews.com/politics/rashida-tlaib-barred-israel-briefings-misinformation-gaza-hospital-explosion,Tlaib faces calls to be barred from Israel briefings after 'misinformation' about Gaza hospital explosion
2023-10-30 23:42:17.806731,https://www.foxnews.com/politics/blinken-gaza-aid-says-us-has-anticipate-possible-spillage-over-hamas,"Blinken, on Gaza aid, says US has to anticipate possible 'spillage' over to Hamas"
2023-10-31 23:42:17.806762,https://www.foxnews.com/world/gazas-only-cancer-hospital-no-longer-operational-running-fuel-report,Gaza's only cancer hospital is no longer operational after running out of fuel: report
2023-10-06 23:42:17.806794,https://www.foxnews.com/world/hundreds-killed-blast-gaza-strip-hospital-israel-blames-islamic-jihad,Hundreds killed in blast at Gaza Strip hospital; Israel says Islamic Jihad's 'failed rocket launch' to blame
2023-10-31 23:42:17.806825,https://www.foxnews.com/politics/biden-american-citizens-leave-gaza-rafah-border-crossing,Biden says American citizens will leave Gaza through Rafah border crossing
2023-10-26 23:42:17.806856,https://www.foxnews.com/live-news/israel-hamas-war-october-26,Israel conducts ground incursion in Gaza tanks roll through border area
2023-10-23 23:42:17.806887,https://www.foxnews.com/politics/kirby-warns-expect-more-civilian-casualties-gaza-israel-targets-hamas-this-war,Kirby warns to expect more civilian casualties in Gaza as Israel targets Hamas: 'This is war'
2023-10-06 23:42:17.806918,https://www.foxnews.com/world/israel-hamas-terrorists-reoccurring-battles-around-gaza-strip,"Israel, Hamas terrorists and the reoccurring battles around the Gaza Strip"
2023-10-06 23:42:17.806949,https://www.foxnews.com/politics/desantis-says-us-shouldnt-take-refugees-gaza,DeSantis says US shouldn’t take in refugees from Gaza: ‘I am not going to do that’
2023-10-06 23:42:17.806980,https://www.foxnews.com/world/un-refugee-agency-gaza-becoming-a-hellhole-on-the-brink-of-collapse,UN refugee agency: Gaza becoming a 'hellhole' on the 'brink of collapse'
2023-10-28 23:42:17.807011,https://www.foxnews.com/politics/sullivan-israel-protect-gaza-civilians-despite-hamas-making-life-difficult-human-shields,Sullivan: Israel should protect Gaza civilians despite Hamas making ‘life difficult’ with human shields
2023-10-06 23:42:17.807043,https://www.foxnews.com/politics/desantis-blasts-biden-for-prioritizing-gaza-aid-that-will-be-commandeered-by-hamas-over-rescuing-hostages,DeSantis blasts Biden for prioritizing Gaza aid that will be 'commandeered' by Hamas over rescuing hostages
2023-10-06 23:42:17.807073,https://www.foxnews.com/world/who-is-shani-louk-german-born-woman-paraded-gaza-hamas-terror-attack-music-festival-israel,Who is Shani Louk? German-born woman paraded around Gaza after Hamas terror attack at music festival in Israel
2023-11-05 18:42:17.807104,https://www.foxnews.com/live-news/november-5-israel-hamas-war,Blinken meets with Palestinian leaders of West Bank as Israel continues Gaza invasion against Hamas
2023-10-06 23:42:17.807136,https://www.foxnews.com/world/gaza-hospital-blast-heres-what-we-know,Gaza hospital blast: Here's what we know
2023-10-31 23:42:17.807167,https://www.foxnews.com/world/qatar-brokers-deal-egypt-hamas-israel-limited-gaza-evacuations,"Qatar brokers deal between Egypt, Hamas and Israel for limited Gaza evacuations"
2023-10-06 23:42:17.807198,https://www.foxnews.com/media/rep-ilhan-omar-walks-back-comments-blaming-israel-gaza-hospital-explosion,"Rep Ilhan Omar walks back comments blaming Israel for Gaza hospital explosion, doesn't offer apology"
2023-10-23 23:42:17.807229,https://www.foxnews.com/live-news/october-23-israel-hamas-war,Israel remains poised for Gaza invasion as airstrikes on Hamas continue
2023-10-06 23:42:17.807260,https://www.foxnews.com/world/netanyahu-tells-biden-we-have-go-gaza-following-hamas-attacks-report,Netanyahu tells Biden 'we have to go in' to Gaza following Hamas attacks: report
2023-10-06 23:42:17.807291,https://www.foxnews.com/world/foreign-officials-raise-alarm-lack-humanitarian-aid-gaza-israel-prepares-ground-operation,Foreign officials raise alarm over lack of humanitarian aid in Gaza as Israel prepares for ground operation
2023-10-06 23:42:17.807322,https://www.foxnews.com/us/two-american-hostages-released-gaza-fox-news-told,"Two American hostages released from Gaza, Fox News is told"
2023-10-31 23:42:17.807353,https://www.foxnews.com/world/israeli-military-nine-more-soldiers-killed-inside-gaza-ground-operation-against-hamas-continues,12 IDF soldiers killed inside Gaza as ground operation against Hamas continues
2023-10-06 23:42:17.807384,https://www.foxnews.com/politics/squad-democrat-calls-end-israels-gaza-blockade-condemns-hamas-terror-attacks,'Squad' Democrat calls for end of Israel's 'Gaza blockade' as he condemns Hamas terror attacks
2023-10-06 23:42:17.807414,https://www.foxnews.com/world/israeli-president-defends-airstrikes-gaza-killing-hamas-operatives-we-fighting-terror,"Israeli president defends airstrikes in Gaza, killing Hamas operatives: 'We are fighting terror'"
2023-10-06 23:42:17.807445,https://www.foxnews.com/world/israel-reveals-scope-overnight-siege-gaza-strip-says-more-500-targets-struck,"Israel reveals scope of overnight siege on Gaza Strip, says more than 500 targets struck"
2023-11-01 23:42:17.807476,https://www.foxnews.com/us/arkansas-man-sues-us-government-in-effort-to-save-wife-children-trapped-in-gaza,"Arkansas man sues US government in effort to save wife, children trapped in Gaza"
2023-11-01 23:42:17.807507,https://www.foxnews.com/world/400-americans-approved-leave-gaza-israel-hamas-war-rages,400 Americans approved to leave Gaza as Israel-Hamas war rages
2023-10-25 23:42:17.807538,https://www.foxnews.com/media/media-running-hamas-narrative-gaza-hospital-directly-contributed-endangering-us-embassies-abroad,Media running Hamas narrative on Gaza hospital 'directly contributed' to endangering US embassies abroad
2023-10-29 23:42:17.807569,https://www.foxnews.com/world/more-israeli-troops-pour-into-gaza-idf-high-alert-northern-border,More Israeli troops pour into Gaza with IDF on 'high alert' on northern border
2023-10-06 23:42:17.807600,https://www.foxnews.com/world/israel-strikes-hamas-gaza-surprise-attack-exchanges-fire-hezbollah,"Israel declares war after Hamas surprise attack, launches retaliatory airstrikes in Gaza"
2023-10-06 23:42:17.807630,https://www.foxnews.com/media/ted-lieu-accuses-ny-times-intentionally-writing-false-headline-gaza-hospital-report-draw-clicks,Ted Lieu accuses NY Times of 'intentionally' writing false headline for Gaza hospital report to draw clicks
2023-10-06 23:42:17.807661,https://www.foxnews.com/world/israeli-forces-entered-gaza-localized-raids-idf-tells-fox-news,"Israeli forces entered Gaza for localized raids, IDF tells Fox News"
2023-10-26 23:42:17.807692,https://www.foxnews.com/world/hamas-terror-base-hidden-beneath-gaza-largest-hospital-israel-alleges,"Hamas terror base is hidden beneath Gaza's largest hospital, Israel alleges"
2023-10-22 23:42:17.807722,https://www.foxnews.com/media/new-york-times-admits-relied-too-heavily-hamas-claims-initial-report-gaza-hospital-explosion,New York Times admits it relied 'too heavily' on Hamas claims in initial report on Gaza hospital explosion
2023-10-06 23:42:17.807753,https://www.foxnews.com/media/ny-times-defends-rehiring-gaza-journalist-praised-hitler,NY Times defends rehiring Gaza journalist who praised Hitler: He's 'maintained high journalistic standards'
2023-10-06 23:42:17.807784,https://www.foxnews.com/politics/desantis-doubles-down-says-us-should-not-accept-refugees-from-palestine,DeSantis refuses to back off demand that US refuse refugees from Gaza
