,datetime,url,title
0,2023-10-30 23:27:00,/article/idUSKBN31V03Z,Gold on track for biggest monthly rise in 11 on safe-haven flows
1,2023-10-30 23:27:00,/article/idUSL1N3C1031,PRECIOUS-Gold on track for biggest monthly rise in 11 on safe-haven flows
2,2023-10-30 20:26:00,/article/idUSL1N3C100H,Oil rises ahead of key central bank meetings amid heightened Mideast tensions
3,2023-10-30 18:58:00,/article/idUSKBN31U14C,"US officials, Jewish leaders meet to address antisemitism on campus"
4,2023-10-30 17:47:00,/article/idUSKBN31U0IG,Graphic pro-Israel ads make their way into children’s video games
5,2023-10-30 17:43:00,/article/idUSL1N3C031D,UPDATE 1-Graphic pro-Israel ads make their way into children’s video games
6,2023-10-30 17:17:00,/article/idUSKBN31U01M,Israeli forces attack Gaza's main city from two directions
7,2023-10-30 16:57:00,/article/idUSKBN31T0FZ,"Putin blames the West, Ukraine after mob storms Russian airport to 'catch' Jews"
8,2023-10-30 16:56:00,/article/idUSKBN31A0UF,Explainer-What's the Israel-Palestinian conflict about and how did it start?
9,2023-10-30 16:55:00,/article/idUSL1N3C007J,"UPDATE 9-Putin blames the West, Ukraine after mob storms Russian airport to 'catch' Jews"
10,2023-10-30 16:15:00,/article/idUSKBN31U13I,Buckling Gaza health service turns to volunteers
11,2023-10-30 16:11:00,/article/idUSKBN31U1AQ,"Exclusive-Lebanon's Hezbollah works to curb hefty losses in Israel clashes, sources say"
12,2023-10-30 15:46:00,/article/idUSKBN31U145,"Hamas releases new hostage video, Netanyahu denounces 'cruel propaganda'"
13,2023-10-30 15:43:00,/article/idUSKBN31U1GO,"Analysis-Hostages in mind, Israel moves slowly in Gaza ground offensive"
14,2023-10-30 15:30:00,/article/idUSL1N3C000A,WRAPUP 11-Israeli forces attack north Gaza's main city from two directions
15,2023-10-30 14:55:00,/article/idUSKBN31U143,Gaza breakdown of order halts four aid distribution centres -UNWRA
16,2023-10-30 14:47:00,/article/idUSKBN31U016,Oil falls more than 3% as concerns about Mideast supply ease
17,2023-10-30 14:47:00,/article/idUSL1N3C007N,UPDATE 9-Oil falls more than 3% as concerns about Mideast supply ease
18,2023-10-30 14:14:00,/article/idUSKBN31U1DI,Netanyahu says Israel will not pause war against Hamas
19,2023-10-30 14:00:00,/article/idUSKBN31U1D3,"Explainer-What is Hezbollah, the group backing Hamas against Israel?"
20,2023-10-30 13:59:00,/article/idUSL1N3BQ1Y0,CORRECTED-Graphic pro-Israel ads make their way into children’s video games
21,2023-10-30 13:26:00,/article/idUSL1N3C023E,"Fact Check-Independent front page with ceasefire infographic is from 2006, not related to 2023 Israel-Hamas War"
22,2023-10-30 12:36:00,/article/idUSKBN31U18H,"Global discord threatens COP28 climate talks, EU commissioner says"
23,2023-10-30 12:31:00,/article/idUSKBN31U17U,Israel's El Al stops flying over Oman on Bangkok route
24,2023-10-30 12:24:00,/article/idUSL8N3C06BX,Israel's El Al stops flying over Oman on Bangkok route
25,2023-10-30 12:13:00,/article/idUSKBN31U16B,Top Israeli economists urge PM to cancel billions of unneeded spending
26,2023-10-30 11:37:00,/article/idUSKBN30X0PA,Explainer-What you need to know about the 2024 US presidential election
27,2023-10-30 11:28:00,/article/idUSL8N3C0311,Gaza breakdown in order halts four aid distribution centres-UNWRA
28,2023-10-30 11:15:00,/article/idUSL8N3C0500,Buckling Gaza health service turns to volunteers
29,2023-10-30 10:30:00,/article/idUSKBN31U03G,Israel war tests US appeal to global swing states
30,2023-10-30 10:10:00,/article/idUSKBN31706W,Factbox-What is the Palestinian group Hamas?
31,2023-10-30 10:08:00,/article/idUSKBN31U0FM,Most Gulf markets end higher ahead of US Fed rate meeting
32,2023-10-30 09:15:00,/article/idUSKBN31A218,Gaza's centuries of war - a brief history
33,2023-10-30 08:18:00,/article/idUSL1N3C00WE,"GLOBAL MARKETS-Stocks gain, oil falls, traders focus on rates outlook"
34,2023-10-30 07:13:00,/article/idUSKBN31U0NH,South Africa calls for UN force to protect civilians in Gaza
35,2023-10-30 07:10:00,/article/idUSL8N3C02ZH,Web Summit appoints new CEO after predecessor quit over Israel-Hamas comments
36,2023-10-30 05:32:00,/article/idUSL4N3C01M5,"EMERGING MARKETS-Stocks rise, FX tepid ahead of Fed rate decision"
37,2023-10-30 05:19:00,/article/idUSKBN31U0G1,Japan's monthly report warns Middle East situation could impact economy
38,2023-10-30 05:16:00,/article/idUSL4N3BX2WB,Japan's monthly report warns Middle East situation could impact economy
39,2023-10-30 05:09:00,/article/idUSL1N3C00FB,"GLOBAL MARKETS-European stocks gain, investors focus on central bank meetings"
40,2023-10-30 04:37:00,/article/idUSL1N3C00I2,China stocks rise on support signs; HK muted on Mideast conflict
41,2023-10-30 02:31:00,/article/idUSL4N3C00I9,"GLOBAL MARKETS-Stocks muted by Middle East conflict, central bank meetings"
42,2023-10-30 00:49:00,/article/idUSL1N3C009L,China stocks rise on support signs; HK dips on Mideast conflict
43,2023-10-30 00:11:00,/article/idUSL4N3C00U4,"Australia dollar gains on stronger retail data, risk sentiment still fragile"
44,2023-10-29 23:17:00,/article/idUSL1N3BZ0O5,UPDATE 4-Anti-Israeli protesters storm Russia's Dagestan airport
45,2023-10-29 22:00:00,/article/idUSL4N3C003L,"GLOBAL MARKETS-Asia stocks mull over Middle East, central bank meetings"
46,2023-10-29 21:42:00,/article/idUSL4N3C002F,PRECIOUS-Gold hovers above $2000 mark as Middle East war boosts safety rush
47,2023-10-29 20:32:00,/article/idUSL1N3C0009,Oil dips as caution about data-heavy week offsets Mid-East war boost
48,2023-10-29 20:26:00,/article/idUSL4N3BZ0I6,"GLOBAL MARKETS-Asia stocks dip on Middle East, central bank meetings"
49,2023-10-29 19:43:00,/article/idUSKBN31S0I1,Israel shows images of tanks in Gaza as war on Hamas militants deepens
50,2023-10-29 18:24:00,/article/idUSKBN31T0ID,Jordan asked US to deploy Patriot air defence missiles -army
51,2023-10-29 18:24:00,/article/idUSL1N3BZ0NX,UPDATE 1-Jordan asked US to deploy Patriot air defence missiles -army
52,2023-10-29 18:00:00,/article/idUSL4N3BZ0J1,REUTERS NEWS SCHEDULE AT 10 p.m. GMT / 6:00 a.m. SGT
53,2023-10-29 16:53:00,/article/idUSL8N3BZ0JN,WRAPUP 9-Israel shows images of tanks in Gaza as war on Hamas militants deepens
54,2023-10-29 15:52:00,/article/idUSKBN31T03P,"Gazans at 'breaking point' as aid centres looted, UN agency says"
55,2023-10-29 15:34:00,/article/idUSKBN31T0GE,"Israel urges Russia to protect Israelis, Jews amid Dagestan unrest"
56,2023-10-29 14:50:00,/article/idUSKBN31T0FD,Israel summons Russian ambassador to protest at Moscow's hosting of Hamas
57,2023-10-29 14:47:00,/article/idUSKBN31T0DG,Impeding relief aid to Gaza may be a crime under ICC jurisdiction -ICC prosecutor
