datetime,url,title,owner_username
2023-11-04 23:42:17.806225,https://www.foxnews.com/live-news/idf-continues-gaza-ground-offensive-that-netanyahu-promises-will-be-swift-and-clear,IDF continues Gaza ground offensive that Netanyahu promises will be 'swift and clear',FoxNews
2023-11-01 23:42:17.806274,https://www.foxnews.com/live-news/november-1-israel-hamas-war,Israel says more IDF soldiers were killed inside Gaza as ground operation against Hamas continues,FoxNews
2023-11-01 23:42:17.806310,https://www.foxnews.com/politics/us-partners-discussing-foreign-troops-serving-gaza-peacekeeping-force-israeli-war,"US, partners discussing foreign troops serving as Gaza peacekeeping force after Israeli war: report",FoxNews
2023-11-03 23:42:17.806345,https://www.foxnews.com/world/veterans-help-americans-leaving-gaza-easier-time-getting-people-out-afghanistan,Veterans help Americans leaving Gaza: ‘Easier time getting people out of Afghanistan’,FoxNews
2023-11-04 23:42:17.806378,https://www.foxnews.com/world/300-miles-hamas-subterranean-terror-tunnels-next-big-challenge-for-idf-gaza-metro,300 miles of Hamas subterranean terror tunnels the next big challenge for IDF: 'Gaza metro',FoxNews
2023-10-27 23:42:17.806410,https://www.foxnews.com/live-news/october-27-israel-hamas-war,"Israel launches second ground incursion into Gaza, Hamas commander killed in airstrike",FoxNews
2023-11-02 23:42:17.806442,https://www.foxnews.com/world/rocket-gaza-hits-near-fox-news-trey-yingst-direct-impact,Rocket from Gaza hits near Fox News' Trey Yingst: 'Direct impact',FoxNews
2023-11-05 12:42:17.806477,https://www.foxnews.com/video/6340565322112,Israeli military escorts FOX reporters into Gaza | Fox News Video,FoxNews
2023-11-03 23:42:17.806510,https://www.foxnews.com/world/average-palestinian-gaza-surviving-only-pieces-bread-per-day-un-human-rights-official,Average Palestinian in Gaza surviving on only 2 pieces of bread per day: UN human rights official,FoxNews
2023-11-03 23:42:17.806543,https://www.foxnews.com/lifestyle/israeli-father-pleads-americans-help-save-wife-three-children-held-hostage-gaza,Israeli father pleads with Americans to help save his wife and three children held hostage in Gaza,FoxNews
2023-10-30 23:42:17.806574,https://www.foxnews.com/live-news/october-30-israel-hamas-war,"Israeli military pushes deeper into Gaza as IDF targets Hamas anti-tank, rocket positions",FoxNews
2023-10-06 23:42:17.806607,https://www.foxnews.com/media/harvard-student-organizations-claim-israel-entirely-responsible-gaza-attacks,Harvard student organizations claim Israel 'entirely responsible' for Gaza attacks,FoxNews
2023-11-03 23:42:17.806638,https://www.foxnews.com/world/average-palestinian-gaza-surviving-only-pieces-bread-per-day-un-human-rights-official,Average Palestinian in Gaza surviving on only 2 pieces of bread per day: UN human rights official,FoxNews
2023-11-03 23:42:17.806669,https://www.foxnews.com/live-news/israel-hamas-war-november-3,"Hezbollah praises Hamas terror attack, Netanyahu rejects cease-fire after Blinken meeting",FoxNews
2023-10-06 23:42:17.806701,https://www.foxnews.com/politics/rashida-tlaib-barred-israel-briefings-misinformation-gaza-hospital-explosion,Tlaib faces calls to be barred from Israel briefings after 'misinformation' about Gaza hospital explosion,FoxNews
2023-10-30 23:42:17.806731,https://www.foxnews.com/politics/blinken-gaza-aid-says-us-has-anticipate-possible-spillage-over-hamas,"Blinken, on Gaza aid, says US has to anticipate possible 'spillage' over to Hamas",FoxNews
2023-10-31 23:42:17.806762,https://www.foxnews.com/world/gazas-only-cancer-hospital-no-longer-operational-running-fuel-report,Gaza's only cancer hospital is no longer operational after running out of fuel: report,FoxNews
2023-10-06 23:42:17.806794,https://www.foxnews.com/world/hundreds-killed-blast-gaza-strip-hospital-israel-blames-islamic-jihad,Hundreds killed in blast at Gaza Strip hospital; Israel says Islamic Jihad's 'failed rocket launch' to blame,FoxNews
2023-10-31 23:42:17.806825,https://www.foxnews.com/politics/biden-american-citizens-leave-gaza-rafah-border-crossing,Biden says American citizens will leave Gaza through Rafah border crossing,FoxNews
2023-10-26 23:42:17.806856,https://www.foxnews.com/live-news/israel-hamas-war-october-26,Israel conducts ground incursion in Gaza tanks roll through border area,FoxNews
2023-10-23 23:42:17.806887,https://www.foxnews.com/politics/kirby-warns-expect-more-civilian-casualties-gaza-israel-targets-hamas-this-war,Kirby warns to expect more civilian casualties in Gaza as Israel targets Hamas: 'This is war',FoxNews
2023-10-06 23:42:17.806918,https://www.foxnews.com/world/israel-hamas-terrorists-reoccurring-battles-around-gaza-strip,"Israel, Hamas terrorists and the reoccurring battles around the Gaza Strip",FoxNews
2023-10-06 23:42:17.806949,https://www.foxnews.com/politics/desantis-says-us-shouldnt-take-refugees-gaza,DeSantis says US shouldn’t take in refugees from Gaza: ‘I am not going to do that’,FoxNews
2023-10-06 23:42:17.806980,https://www.foxnews.com/world/un-refugee-agency-gaza-becoming-a-hellhole-on-the-brink-of-collapse,UN refugee agency: Gaza becoming a 'hellhole' on the 'brink of collapse',FoxNews
2023-10-28 23:42:17.807011,https://www.foxnews.com/politics/sullivan-israel-protect-gaza-civilians-despite-hamas-making-life-difficult-human-shields,Sullivan: Israel should protect Gaza civilians despite Hamas making ‘life difficult’ with human shields,FoxNews
2023-10-06 23:42:17.807043,https://www.foxnews.com/politics/desantis-blasts-biden-for-prioritizing-gaza-aid-that-will-be-commandeered-by-hamas-over-rescuing-hostages,DeSantis blasts Biden for prioritizing Gaza aid that will be 'commandeered' by Hamas over rescuing hostages,FoxNews
2023-10-06 23:42:17.807073,https://www.foxnews.com/world/who-is-shani-louk-german-born-woman-paraded-gaza-hamas-terror-attack-music-festival-israel,Who is Shani Louk? German-born woman paraded around Gaza after Hamas terror attack at music festival in Israel,FoxNews
2023-11-05 18:42:17.807104,https://www.foxnews.com/live-news/november-5-israel-hamas-war,Blinken meets with Palestinian leaders of West Bank as Israel continues Gaza invasion against Hamas,FoxNews
2023-10-06 23:42:17.807136,https://www.foxnews.com/world/gaza-hospital-blast-heres-what-we-know,Gaza hospital blast: Here's what we know,FoxNews
2023-10-31 23:42:17.807167,https://www.foxnews.com/world/qatar-brokers-deal-egypt-hamas-israel-limited-gaza-evacuations,"Qatar brokers deal between Egypt, Hamas and Israel for limited Gaza evacuations",FoxNews
2023-10-06 23:42:17.807198,https://www.foxnews.com/media/rep-ilhan-omar-walks-back-comments-blaming-israel-gaza-hospital-explosion,"Rep Ilhan Omar walks back comments blaming Israel for Gaza hospital explosion, doesn't offer apology",FoxNews
2023-10-23 23:42:17.807229,https://www.foxnews.com/live-news/october-23-israel-hamas-war,Israel remains poised for Gaza invasion as airstrikes on Hamas continue,FoxNews
2023-10-06 23:42:17.807260,https://www.foxnews.com/world/netanyahu-tells-biden-we-have-go-gaza-following-hamas-attacks-report,Netanyahu tells Biden 'we have to go in' to Gaza following Hamas attacks: report,FoxNews
