datetime,url,title,owner_username,cluster_id,cosine_score
2023-11-15 22:34:00,https://www.wsj.com/world/middle-east/israel-hamas-war-gaza-al-shifa-hospital-8121c9c7?page=2,Israel Says It Found Evidence of Hamas Activity at Gaza Hospital,WSJ,news_10,0.8172527266403853
2023-11-15 17:20:00,https://www.wsj.com/world/middle-east/u-s-relied-on-intercepts-in-assessing-hamass-operations-at-gaza-hospital-0d99e623?page=2,U.S. Relied on Intercepts in Assessing Hamas’s Operations at Gaza Hospital,WSJ,news_10,0.7887202080901908
2023-11-15 14:03:00,https://www.wsj.com/world/middle-east/u-s-presses-for-gaza-hostages-release-as-fears-grow-over-their-safety-9a92af06?page=2,U.S. Presses for Hamas to Release Hostages as Fears Grow Over Their Safety,WSJ,news_10,0.8452013153554785
2023-11-12 00:04:00,https://www.wsj.com/world/middle-east/hamas-needed-a-new-way-to-get-money-from-iran-it-turned-to-crypto-739619aa?page=3,Hamas Needed a New Way to Get Money From Iran. It Turned to Crypto.,WSJ,news_10,0.5759031236153642
2023-11-10 20:44:00,https://www.wsj.com/world/middle-east/israel-races-to-root-out-hamas-as-calls-for-gaza-cease-fire-mount-76a153a1?page=4,Israel Races to Root Out Hamas as Calls for Gaza Cease-Fire Mount,WSJ,news_10,0.7947223441087673
2023-11-10 17:45:00,https://www.wsj.com/world/middle-east/israel-gaza-al-shifa-hospital-hamas-ca06fd21?page=4,"At the Center of the Israel-Hamas War, an Advancing Army Confronts a Humanitarian Crisis",WSJ,news_10,0.732048132025512
2023-11-09 18:03:00,https://www.wsj.com/articles/the-theology-of-hamas-c18e78f0?page=4,Opinion: The Theology of Hamas,WSJ,news_10,0.7379404873449036
2023-11-09 17:58:00,https://www.wsj.com/articles/hamas-supporters-probably-arent-fit-to-practice-law-1b42128d?page=4,Opinion: Hamas Supporters Probably Aren’t Fit to Practice Law,WSJ,news_10,0.7025464791547581
2023-11-09 14:32:00,https://www.wsj.com/business/media/washington-post-removes-hamas-cartoon-after-backlash-from-staff-and-readers-1a4d213d?page=4,Washington Post Removes Hamas Cartoon After Backlash From Staff and Readers,WSJ,news_10,0.6110703389141906
2023-11-09 13:13:00,https://www.wsj.com/articles/hamas-attack-reminds-europe-of-the-virtue-of-sovereignty-deport-anti-semites-3a041915?page=5,Opinion: Hamas Attack Reminds Europeans of the Virtue of Sovereignty,WSJ,news_10,0.707620866941634
2023-11-08 13:18:00,https://www.wsj.com/articles/the-global-south-isnt-all-pro-hamas-india-africa-asia-south-america-101331cf?page=5,Opinion: The ‘Global South’ Isn’t All Pro-Hamas,WSJ,news_10,0.5722760246991552
2023-11-06 17:49:00,https://www.wsj.com/articles/joe-bidens-hamas-caucus-israel-palestine-democrats-election-1357cde5?page=6,Opinion: The Democrats’ Hamas Caucus,WSJ,news_10,0.7278096203047082
2023-11-06 12:57:00,https://www.wsj.com/articles/obama-hamas-and-complicity-civilian-deaths-atrocity-22966cff?page=6,"Opinion: Obama, Hamas and ‘Complicity’",WSJ,news_10,0.7353622837552831
2023-11-06 12:56:00,https://www.wsj.com/articles/hamas-defenders-wield-words-as-weapons-91713cee?page=6,Opinion: Hamas Defenders Wield Words as Weapons,WSJ,news_10,0.7481265103189234
